review_id,review_order,issue_type,ai_suggested_decision,ai_confidence,ai_reason_short,ai_is_final_decision,needs_human_confirmation,source_split,image_path,label_path,overlay_path,crop_path,gt_damage_area_count,pred_damage_area_count,fn_damage_area_count,fp_damage_area_count
tactile3-da-final-001,1,mixed_fn_fp_damage_area,fix_tactile_damage_area_bbox,medium,GT boxes look overly broad around localized chips,no,yes,val,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_1_1_20210726_0000026396.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_1_1_20210726_0000026396.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/001_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210726_0000026396.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/001_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210726_0000026396.jpg,3,12,3,12
tactile3-da-final-002,2,mixed_fn_fp_damage_area,add_missing_tactile_damage_area,high,Multiple clear exposed concrete damage areas unlabeled,no,yes,val,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_1_1_20210806_0000118892.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_1_1_20210806_0000118892.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/002_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210806_0000118892.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/002_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210806_0000118892.jpg,3,14,2,13
tactile3-da-final-003,3,mixed_fn_fp_damage_area,add_missing_tactile_damage_area,high,Several seam chips and spalls visible outside GT,no,yes,val,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_1_1_20210813_0000205406.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_1_1_20210813_0000205406.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/003_mixed_fn_fp_damage_area_002_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210813_0000205406.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/003_mixed_fn_fp_damage_area_002_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210813_0000205406.jpg,3,14,2,13
tactile3-da-final-004,4,mixed_fn_fp_damage_area,fix_tactile_damage_area_bbox,medium,GT boxes broad and damage extent not tight,no,yes,val,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_1_2_20210729_0000026504.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_1_2_20210729_0000026504.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/004_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_2_20210729_0000026504.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/004_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_2_20210729_0000026504.jpg,3,11,3,11
tactile3-da-final-005,5,mixed_fn_fp_damage_area,add_missing_tactile_damage_area,high,Many visible edge chips missing GT labels,no,yes,val,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_1_2_20210722_0000011874.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_1_2_20210722_0000011874.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/005_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_2_20210722_0000011874.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/005_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_2_20210722_0000011874.jpg,3,14,2,13
tactile3-da-final-006,6,mixed_fn_fp_damage_area,add_missing_tactile_damage_area,medium,Repeated worn tactile ridges similar to labeled areas,no,yes,val,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_1_1_20210728_0000166643.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_1_1_20210728_0000166643.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/006_mixed_fn_fp_damage_area_002_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210728_0000166643.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/006_mixed_fn_fp_damage_area_002_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210728_0000166643.jpg,3,11,3,11
tactile3-da-final-007,7,mixed_fn_fp_damage_area,fix_tactile_damage_area_bbox,medium,GT includes broad non-damage while cracks need tighter labels,no,yes,val,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_1_1_20210827_0000390431.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_1_1_20210827_0000390431.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/007_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210827_0000390431.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/007_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_1_1_20210827_0000390431.jpg,3,11,3,11
tactile3-da-final-008,8,mixed_fn_fp_damage_area,accept_existing_labels,medium,Red boxes mostly cover seams or normal discoloration,no,yes,val,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_5_1_20211020_0000671699.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_5_1_20211020_0000671699.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/008_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_5_1_20211020_0000671699.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/008_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_5_1_20211020_0000671699.jpg,3,11,3,11
tactile3-da-final-009,9,mixed_fn_fp_damage_area,add_missing_tactile_damage_area,medium,Large seam gouge appears unlabeled,no,yes,val,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_4_1_20210917_0000515986.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_4_1_20210917_0000515986.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/009_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_4_1_20210917_0000515986.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/009_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_4_1_20210917_0000515986.jpg,3,13,2,12
tactile3-da-final-010,10,mixed_fn_fp_damage_area,fix_tactile_damage_area_bbox,medium,GT boxes are broad and overlapping over damaged blocks,no,yes,val,datasets/walksafe_kr_tactile_3class_20260521/images/val/aihub513_tactile_2_09_1_1_2_1_20211011_0000737779.jpg,datasets/walksafe_kr_tactile_3class_20260521/labels/val/aihub513_tactile_2_09_1_1_2_1_20211011_0000737779.txt,docs/review/walksafe_tactile3_damage_area_20260522/final_overlays/010_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_2_1_20211011_0000737779.jpg,docs/review/walksafe_tactile3_damage_area_20260522/final_crops/010_mixed_fn_fp_damage_area_001_mixed_fn_fp_damage_area_aihub513_tactile_2_09_1_1_2_1_20211011_0000737779.jpg,3,10,3,10
